symbol,company_name,sector_33,market_category,scale_category,is_financial,low_liquidity_candidate,include_for_collection,priority_score
3681,ブイキューブ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13681
3687,フィックスターズ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13687
3694,オプティム,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13694
3696,セレス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13696
3697,ＳＨＩＦＴ,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,13697
3708,特種東海製紙,パルプ・紙,プライム（内国株式）,TOPIX Small 2,0,1,1,13708
3741,セック,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13741
3762,テクマトリックス,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13762
3763,プロシップ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13763
3765,ガンホー・オンライン・エンターテイメント,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13765
3769,ＧＭＯペイメントゲートウェイ,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,13769
3771,システムリサーチ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13771
3774,インターネットイニシアティブ,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,13774
3778,さくらインターネット,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13778
3788,ＧＭＯグローバルサイン・ホールディングス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13788
3817,ＳＲＡホールディングス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13817
3834,朝日ネット,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13834
3835,ｅＢＡＳＥ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13835
3836,アバントグループ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13836
3837,アドソル日進,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13837
3843,フリービット,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13843
3844,コムチュア,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13844
3853,アステリア,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13853
3854,アイル,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13854
3861,王子ホールディングス,パルプ・紙,プライム（内国株式）,TOPIX Mid400,0,0,1,13861
3863,日本製紙,パルプ・紙,プライム（内国株式）,TOPIX Small 1,0,1,1,13863
3864,三菱製紙,パルプ・紙,プライム（内国株式）,-,0,0,1,13864
3865,北越コーポレーション,パルプ・紙,プライム（内国株式）,TOPIX Small 1,0,1,1,13865
3877,中越パルプ工業,パルプ・紙,プライム（内国株式）,-,0,0,1,13877
3880,大王製紙,パルプ・紙,プライム（内国株式）,TOPIX Small 1,0,1,1,13880
3901,マークラインズ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13901
3902,メディカル・データ・ビジョン,情報・通信業,プライム（内国株式）,-,0,0,1,13902
3903,ｇｕｍｉ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13903
3915,テラスカイ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13915
3916,デジタル・インフォメーション・テクノロジー,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13916
3921,ネオジャパン,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13921
3922,ＰＲ　ＴＩＭＥＳ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13922
3923,ラクス,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,13923
3925,ダブルスタンダード,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13925
3932,アカツキ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13932
3939,カナミックネットワーク,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13939
3941,レンゴー,パルプ・紙,プライム（内国株式）,TOPIX Mid400,0,0,1,13941
3946,トーモク,パルプ・紙,プライム（内国株式）,TOPIX Small 2,0,1,1,13946
3950,ザ・パック,パルプ・紙,プライム（内国株式）,TOPIX Small 2,0,1,1,13950
3962,チェンジホールディングス,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13962
3963,シンクロ・フード,情報・通信業,プライム（内国株式）,-,0,0,1,13963
3964,オークネット,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13964
3968,セグエグループ,情報・通信業,プライム（内国株式）,-,0,0,1,13968
3983,オロ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13983
3984,ユーザーローカル,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,13984
3992,ニーズウェル,情報・通信業,プライム（内国株式）,-,0,0,1,13992
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,13993
3994,マネーフォワード,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,13994
4004,レゾナック・ホールディングス,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14004
4005,住友化学,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14005
4008,住友精化,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14008
4021,日産化学,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14021
4022,ラサ工業,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14022
4023,クレハ,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14023
4025,多木化学,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14025
4027,テイカ,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14027
4028,石原産業,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14028
4041,日本曹達,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14041
4042,東ソー,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14042
4043,トクヤマ,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14043
4044,セントラル硝子,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14044
4045,東亞合成,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14045
4046,大阪ソーダ,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14046
4047,関東電化工業,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14047
4051,ＧＭＯフィナンシャルゲート,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,14051
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,14053
4061,デンカ,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14061
4062,イビデン,電気機器,プライム（内国株式）,TOPIX Mid400,0,0,1,14062
4063,信越化学工業,化学,プライム（内国株式）,TOPIX Core30,0,0,1,14063
4064,日本カーバイド工業,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14064
4071,プラスアルファ・コンサルティング,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,14071
4072,電算システムホールディングス,情報・通信業,プライム（内国株式）,TOPIX Small 2,0,1,1,14072
4078,堺化学工業,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14078
4082,第一稀元素化学工業,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14082
4088,エア・ウォーター,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14088
4091,日本酸素ホールディングス,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14091
4092,日本化学工業,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14092
4095,日本パーカライジング,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14095
4097,高圧ガス工業,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14097
4099,四国化成ホールディングス,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14099
4109,ステラ　ケミファ,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14109
4112,保土谷化学工業,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14112
4114,日本触媒,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14114
4116,大日精化工業,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14116
4118,カネカ,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14118
4151,協和キリン,医薬品,プライム（内国株式）,TOPIX Mid400,0,0,1,14151
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,情報・通信業,プライム（内国株式）,TOPIX Small 1,0,1,1,14180
4182,三菱瓦斯化学,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14182
4183,三井化学,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14183
4186,東京応化工業,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14186
4187,大阪有機化学工業,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14187
4188,三菱ケミカルグループ,化学,プライム（内国株式）,TOPIX Large70,0,0,1,14188
4189,ＫＨネオケム,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14189
4194,ビジョナル,情報・通信業,プライム（内国株式）,TOPIX Mid400,0,0,1,14194
4202,ダイセル,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14202
4203,住友ベークライト,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14203
4204,積水化学工業,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14204
4205,日本ゼオン,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14205
4206,アイカ工業,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14206
4208,ＵＢＥ,化学,プライム（内国株式）,TOPIX Mid400,0,0,1,14208
4212,積水樹脂,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14212
4216,旭有機材,化学,プライム（内国株式）,TOPIX Small 1,0,1,1,14216
4218,ニチバン,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14218
4220,リケンテクノス,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14220
4221,大倉工業,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14221
4228,積水化成品工業,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14228
4229,群栄化学工業,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14229
4246,ダイキョーニシカワ,化学,プライム（内国株式）,TOPIX Small 2,0,1,1,14246
